x, y, type     , rotation
0,0,empty,0
0,1,turn,270
0,2,straight,90
0,3,3way,270
0,4,straight,90
0,5,straight,90
0,6,straight,90
0,7,3way,270
0,8,straight,90
0,9,straight,90
0,10,straight,90
0,11,turn,180
0,12,empty,0
0,13,empty,0
0,14,empty,0
0,15,empty,0
0,16,empty,0
0,17,empty,0
0,18,empty,0
1,0,turn,270
1,1,turn,90
1,2,empty,0
1,3,straight,0
1,4,empty,0
1,5,empty,0
1,6,empty,0
1,7,straight,0
1,8,empty,0
1,9,empty,0
1,10,empty,0
1,11,straight,0
1,12,empty,0
1,13,empty,0
1,14,empty,0
1,15,empty,0
1,16,empty,0
1,17,empty,0
1,18,empty,0
2,0,straight,0
2,1,empty,0
2,2,empty,0
2,3,straight,0
2,4,empty,0
2,5,empty,0
2,6,empty,0
2,7,straight,0
2,8,empty,0
2,9,turn,270
2,10,straight,90
2,11,4way,0
2,12,straight,90
2,13,straight,90
2,14,3way,270
2,15,straight,90
2,16,3way,270
2,17,straight,90
2,18,turn,180
3,0,3way,0
3,1,straight,90
3,2,straight,90
3,3,3way,180
3,4,empty,0
3,5,empty,0
3,6,empty,0
3,7,straight,0
3,8,empty,0
3,9,straight,0
3,10,empty,0
3,11,straight,0
3,12,empty,0
3,13,empty,0
3,14,straight,0
3,15,empty,0
3,16,straight,0
3,17,empty,0
3,18,straight,0
4,0,straight,0
4,1,empty,0
4,2,empty,0
4,3,straight,0
4,4,empty,0
4,5,turn,270
4,6,straight,90
4,7,4way,0
4,8,straight,90
4,9,turn,90
4,10,empty,0
4,11,turn,0
4,12,turn,180
4,13,empty,0
4,14,straight,0
4,15,empty,0
4,16,straight,0
4,17,empty,0
4,18,straight,0
5,0,straight,0
5,1,empty,0
5,2,empty,0
5,3,straight,0
5,4,empty,0
5,5,straight,0
5,6,empty,0
5,7,straight,0
5,8,empty,0
5,9,empty,0
5,10,empty,0
5,11,empty,0
5,12,straight,0
5,13,empty,0
5,14,straight,0
5,15,empty,0
5,16,straight,0
5,17,empty,0
5,18,straight,0
6,0,3way,0
6,1,straight,90
6,2,straight,90
6,3,4way,0
6,4,straight,90
6,5,turn,90
6,6,empty,0
6,7,straight,0
6,8,empty,0
6,9,empty,0
6,10,turn,270
6,11,straight,90
6,12,turn,90
6,13,empty,0
6,14,straight,0
6,15,empty,0
6,16,straight,0
6,17,empty,0
6,18,straight,0
7,0,straight,0
7,1,empty,0
7,2,empty,0
7,3,straight,0
7,4,empty,0
7,5,empty,0
7,6,turn,270
7,7,turn,90
7,8,empty,0
7,9,turn,270
7,10,turn,90
7,11,empty,0
7,12,empty,0
7,13,empty,0
7,14,straight,0
7,15,empty,0
7,16,straight,0
7,17,empty,0
7,18,straight,0
8,0,straight,0
8,1,empty,0
8,2,empty,0
8,3,straight,0
8,4,empty,0
8,5,empty,0
8,6,straight,0
8,7,empty,0
8,8,turn,270
8,9,turn,90
8,10,empty,0
8,11,empty,0
8,12,empty,0
8,13,empty,0
8,14,straight,0
8,15,empty,0
8,16,straight,0
8,17,empty,0
8,18,straight,0
9,0,turn,0
9,1,straight,90
9,2,straight,90
9,3,3way,90
9,4,straight,90
9,5,straight,90
9,6,3way,90
9,7,straight,90
9,8,turn,90
9,9,empty,0
9,10,empty,0
9,11,empty,0
9,12,empty,0
9,13,empty,0
9,14,turn,0
9,15,straight,90
9,16,3way,90
9,17,straight,90
9,18,turn,90
